frame_index,media_ms,track_id,class_id,state,x_min,y_min,x_max,y_max,confidence
14,1166.667,1,33,tentative,523.173,408.950,561.493,432.000,0.3096
15,1250.000,2,0,tentative,517.868,397.801,570.177,432.000,0.4816
16,1333.333,2,0,tentative,513.710,389.973,571.524,430.965,0.7752
17,1416.667,2,0,confirmed,513.414,381.895,573.872,429.447,0.8100
18,1500.000,2,0,confirmed,514.231,376.395,574.880,428.886,0.7910
19,1583.333,2,0,confirmed,516.149,369.584,576.657,427.559,0.8171
20,1666.667,2,0,confirmed,518.028,361.763,578.585,426.345,0.8338
21,1750.000,2,0,confirmed,519.726,354.037,580.135,425.526,0.8291
22,1833.333,2,0,confirmed,519.941,345.727,581.189,425.128,0.8778
23,1916.667,2,0,confirmed,520.199,338.205,582.217,425.300,0.8904
24,2000.000,2,0,confirmed,519.144,330.300,582.666,425.578,0.8825
25,2083.333,2,0,confirmed,518.052,323.382,582.685,425.969,0.8924
26,2166.667,2,0,confirmed,519.137,316.435,583.394,425.943,0.8939
27,2250.000,2,0,confirmed,522.544,303.399,584.153,411.758,0.8792
28,2333.333,2,0,confirmed,526.892,292.977,585.235,398.850,0.8572
29,2416.667,2,0,confirmed,530.405,287.551,586.072,392.876,0.8612
30,2500.000,2,0,confirmed,532.331,283.363,586.359,389.385,0.8588
31,2583.333,2,0,confirmed,533.605,278.303,587.137,385.852,0.8381
32,2666.667,2,0,confirmed,536.215,271.739,589.302,379.075,0.8421
33,2750.000,2,0,confirmed,539.695,262.747,591.814,366.409,0.8387
34,2833.333,2,0,confirmed,543.213,257.123,594.350,359.794,0.8193
35,2916.667,2,0,confirmed,544.011,253.735,595.480,356.612,0.8588
36,3000.000,2,0,confirmed,544.029,250.455,596.204,354.371,0.8694
37,3083.333,2,0,confirmed,544.336,245.226,597.395,350.328,0.8766
38,3166.667,2,0,confirmed,547.976,239.008,600.113,343.767,0.8659
39,3250.000,2,0,confirmed,553.036,232.016,603.771,334.041,0.8691
40,3333.333,2,0,confirmed,556.290,226.713,606.269,325.534,0.8450
41,3416.667,2,0,confirmed,558.036,223.923,608.602,322.156,0.8474
42,3500.000,2,0,confirmed,559.015,221.095,611.163,319.496,0.8604
43,3583.333,2,0,confirmed,561.868,217.344,614.944,315.563,0.8470
44,3666.667,2,0,confirmed,566.024,212.007,619.371,307.325,0.8505
45,3750.000,2,0,confirmed,573.819,207.238,625.596,300.661,0.8077
46,3833.333,2,0,confirmed,580.921,204.170,631.201,297.548,0.8594
47,3916.667,2,0,confirmed,584.999,201.836,635.372,295.748,0.8515
48,4000.000,2,0,confirmed,587.661,199.442,639.304,294.780,0.8849
49,4083.333,2,0,confirmed,591.019,196.307,643.019,293.090,0.8783
50,4166.667,2,0,confirmed,596.639,191.625,646.762,287.922,0.8521
51,4250.000,2,0,confirmed,603.150,185.894,651.342,281.258,0.8224
52,4333.333,2,0,confirmed,607.116,180.756,655.187,274.086,0.8397
53,4416.667,2,0,confirmed,608.018,178.247,657.270,270.855,0.8615
54,4500.000,2,0,confirmed,609.271,176.916,660.250,269.672,0.8655
55,4583.333,2,0,confirmed,612.077,174.773,665.130,267.836,0.8203
56,4666.667,2,0,confirmed,618.741,170.289,671.574,260.908,0.8170
57,4750.000,2,0,confirmed,627.361,166.465,678.035,256.483,0.7973
58,4833.333,2,0,confirmed,635.721,164.131,684.856,254.281,0.8456
59,4916.667,2,0,confirmed,640.286,162.500,689.567,253.441,0.8536
60,5000.000,2,0,confirmed,642.752,161.216,693.320,252.967,0.8673
61,5083.333,2,0,confirmed,647.019,159.006,697.464,252.193,0.8571
62,5166.667,2,0,confirmed,654.045,155.217,701.496,247.355,0.8660
63,5250.000,2,0,confirmed,660.259,150.954,705.832,242.011,0.8307
64,5333.333,2,0,confirmed,663.759,147.215,709.017,236.503,0.8287
65,5416.667,2,0,confirmed,665.250,144.936,711.520,233.642,0.8134
66,5500.000,2,0,confirmed,666.488,143.527,714.348,232.029,0.8174
67,5583.333,2,0,confirmed,670.788,141.505,720.998,229.498,0.7734
68,5666.667,2,0,confirmed,676.011,138.444,726.349,225.040,0.7925
69,5750.000,2,0,confirmed,684.486,135.876,733.365,221.817,0.7914
70,5833.333,2,0,confirmed,691.023,134.050,738.371,220.255,0.8484
